,airport_id,airport_code,city,state,median_d_delay,median_a_delay,dep_flight_count,arr_flight_count,std_d_delay,std_a_delay
359,15412,TYS,Knoxville, TN,-4.0,-3.0,322,306,44.62,48.3
360,15454,UIN,Quincy, IL,-4.5,-9.0,13,13,33.66,33.38
361,15582,VEL,Vernal, UT,-10.0,-13.0,14,5,13.04,14.68
362,15607,VLD,Valdosta, GA,-2.0,-2.0,19,16,175.04,175.42
363,15624,VPS,Valparaiso, FL,-4.0,-3.0,123,126,49.42,50.54
364,15841,WRG,Wrangell, AK,-16.0,-1.0,10,24,23.21,21.1
365,15897,WYS,West Yellowstone, MT,-6.0,-3.5,6,4,4.8,8.38
366,15919,XNA,Fayetteville, AR,-4.0,-7.0,253,233,31.5,33.78
367,15991,YAK,Yakutat, AK,-15.0,-17.0,10,9,18.6,16.27
368,16101,YKM,Yakima, WA,-3.5,3.0,20,26,19.25,20.0
369,16218,YUM,Yuma, AZ,-3.0,-5.5,28,38,107.44,105.87
370,16869,XWA,Williston, ND,-2.0,-2.0,5,5,15.34,20.39
