airport_id,airport_code,city,state,mean_d_delay,mean_arr_delay,dep_flight_count,arr_flight_count,dep_late_count,arr_late_count,dep_late_perc,arr_late_perc,dep_taxi,arr_taxi
14057,PDX,Portland, OR,4.33,0.4,1353,1420,460,467,0.34,0.329,13.503325942350333,4.726056338028169
14683,SAT,San Antonio, TX,5.77,3.75,688,623,212,241,0.308,0.387,12.513081395348838,4.243980738362761
14831,SJC,San Jose, CA,5.23,1.89,1022,1034,359,370,0.351,0.358,13.4559686888454,4.717601547388782
14843,SJU,San Juan, PR,11.56,5.73,414,396,160,153,0.386,0.386,13.840579710144928,6.111111111111111
15304,TPA,Tampa, FL,10.61,5.67,1194,1195,404,440,0.338,0.368,13.572026800670017,5.175732217573222
14027,PBI,West Palm Beach/Palm Beach, FL,10.39,4.3,407,397,140,152,0.344,0.383,14.343980343980345,4.4534005037783375
12264,IAD,Washington, DC,7.83,2.86,1459,1478,517,462,0.354,0.313,21.15764222069911,6.079161028416779
11109,COS,Colorado Springs, CO,6.48,8.53,170,188,53,77,0.312,0.41,19.605882352941176,6.962765957446808
13495,MSY,New Orleans, LA,9.25,1.64,835,906,305,310,0.365,0.342,12.455089820359282,5.211920529801325
10599,BHM,Birmingham, AL,7.11,9.18,307,338,103,134,0.336,0.396,14.9185667752443,4.050295857988166
11884,GEG,Spokane, WA,4.44,3.06,337,396,105,143,0.312,0.361,15.183976261127597,4.05050505050505
10994,CHS,Charleston, SC,10.59,4.37,413,430,118,157,0.286,0.365,14.815980629539952,6.17906976744186
11049,CLL,College Station/Bryan, TX,19.39,6.7,36,33,13,11,0.361,0.333,12.444444444444445,4.515151515151516
12982,LIH,Lihue, HI,0.43,-2.42,211,205,75,53,0.355,0.259,9.777251184834123,6.434146341463415
12173,HNL,Honolulu, HI,2.15,-0.5,828,884,269,301,0.325,0.34,15.78908188585608,7.609356725146199
11641,FAY,Fayetteville, NC,10.6,6.4,68,63,23,20,0.338,0.317,15.5,4.031746031746032
10140,ABQ,Albuquerque, NM,7.04,5.38,429,430,134,170,0.312,0.395,12.585081585081586,5.367441860465116
14893,SMF,Sacramento, CA,6.47,3.3,878,907,290,330,0.33,0.364,12.707289293849659,4.901874310915105
14492,RDU,Raleigh/Durham, NC,11.19,7.72,1122,1127,397,445,0.354,0.395,18.33778966131907,6.174800354924579
11259,DAL,Dallas, TX,12.95,4.29,1175,1070,485,407,0.413,0.38,12.299574468085106,5.109345794392524
12896,LBB,Lubbock, TX,6.13,3.76,112,88,38,32,0.339,0.364,14.3125,4.329545454545454
13342,MKE,Milwaukee, WI,7.4,3.99,568,515,181,180,0.319,0.35,14.799295774647888,5.384466019417475
13871,OMA,Omaha, NE,7.61,4.2,441,405,146,147,0.331,0.363,14.72562358276644,4.190123456790124
13891,ONT,Ontario, CA,5.84,2.44,395,342,122,113,0.309,0.33,11.250632911392405,4.233918128654971
14524,RIC,Richmond, VA,7.7,6.93,464,441,157,166,0.338,0.376,17.900862068965516,6.827664399092971
15096,SYR,Syracuse, NY,11.64,6.24,281,267,88,99,0.313,0.371,17.615658362989326,4.771535580524344
13256,MFE,Mission/McAllen/Edinburg, TX,11.03,7.45,69,85,19,34,0.275,0.4,11.44927536231884,4.894117647058824
11146,CRW,Charleston/Dunbar, WV,7.93,6.44,89,97,30,28,0.337,0.289,17.247191011235955,3.9690721649484537
12265,IAG,Niagara Falls, NY,15.17,-1.36,12,14,4,2,0.333,0.143,15.666666666666666,7.714285714285714
10980,CHA,Chattanooga, TN,1.18,1.47,158,165,44,51,0.278,0.309,17.196202531645568,5.181818181818182
10423,AUS,Austin, TX,11.36,3.91,1005,1047,356,372,0.354,0.355,13.957213930348258,6.589302769818529
14570,RNO,Reno, NV,2.36,0.69,340,347,103,124,0.303,0.357,13.823529411764707,4.703170028818444
11995,GSO,Greensboro/High Point, NC,8.85,7.8,274,280,93,112,0.339,0.4,18.2007299270073,5.714285714285714
10874,CAK,Akron, OH,9.72,13.01,129,128,49,51,0.38,0.398,17.046511627906977,6.0546875
14252,PSC,Pasco/Kennewick/Richland, WA,7.6,2.32,108,124,39,42,0.361,0.339,15.12962962962963,4.943548387096774
14150,PLN,Pellston, MI,-7.04,7.61,24,23,3,6,0.125,0.261,13.333333333333334,5.217391304347826
13158,MAF,Midland/Odessa, TX,4.63,4.68,144,141,48,48,0.333,0.34,12.840277777777779,4.0212765957446805
11697,FLL,Fort Lauderdale, FL,12.8,4.49,1587,1487,613,556,0.386,0.374,17.48708254568368,7.356422326832549
13296,MHT,Manchester, NH,1.43,0.57,164,155,39,49,0.238,0.316,13.975609756097562,4.961290322580645
14108,PIA,Peoria, IL,6.75,13.43,91,81,27,34,0.297,0.42,14.659340659340659,4.62962962962963
10627,BIS,Bismarck/Mandan, ND,6.45,3.5,88,88,29,29,0.33,0.33,16.602272727272727,4.738636363636363
10926,CDV,Cordova, AK,-4.0,-5.2,14,10,5,3,0.357,0.3,9.142857142857142,3.9
15295,TOL,Toledo, OH,-1.81,1.7,21,33,5,11,0.238,0.333,12.857142857142858,3.4242424242424243
